id,nombre,altura,peso,experiencia_base,es_predeterminado,tipos,habilidades,hp,ataque,defensa,ataque_especial,defensa_especial,velocidad,stat_total,url_sprite,url_imagen_oficial
167,Spinarak,0.5,8.5,50.0,True,"Bug,Poison","Swarm,Insomnia,Sniper",40,60,40,40,40,30,250,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/167.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/167.png
168,Ariados,1.1,33.5,140.0,True,"Bug,Poison","Swarm,Insomnia,Sniper",70,90,70,60,70,40,400,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/168.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/168.png
169,Crobat,1.8,75.0,241.0,True,"Poison,Flying","Inner-focus,Infiltrator",85,90,80,70,80,130,535,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/169.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/169.png
170,Chinchou,0.5,12.0,66.0,True,"Water,Electric","Volt-absorb,Illuminate,Water-absorb",75,38,38,56,56,67,330,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/170.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/170.png
171,Lanturn,1.2,22.5,161.0,True,"Water,Electric","Volt-absorb,Illuminate,Water-absorb",125,58,58,76,76,67,460,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/171.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/171.png
172,Pichu,0.3,2.0,41.0,True,Electric,"Static,Lightning-rod",20,40,15,35,35,60,205,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/172.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/172.png
173,Cleffa,0.3,3.0,44.0,True,Fairy,"Cute-charm,Magic-guard,Friend-guard",50,25,28,45,55,15,218,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/173.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/173.png
174,Igglybuff,0.3,1.0,42.0,True,"Normal,Fairy","Cute-charm,Competitive,Friend-guard",90,30,15,40,20,15,210,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/174.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/174.png
175,Togepi,0.3,1.5,49.0,True,Fairy,"Hustle,Serene-grace,Super-luck",35,20,65,40,65,20,245,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/175.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/175.png
176,Togetic,0.6,3.2,142.0,True,"Fairy,Flying","Hustle,Serene-grace,Super-luck",55,40,85,80,105,40,405,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/176.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/176.png
177,Natu,0.2,2.0,64.0,True,"Psychic,Flying","Synchronize,Early-bird,Magic-bounce",40,50,45,70,45,70,320,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/177.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/177.png
178,Xatu,1.5,15.0,165.0,True,"Psychic,Flying","Synchronize,Early-bird,Magic-bounce",65,75,70,95,70,95,470,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/178.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/178.png
179,Mareep,0.6,7.8,56.0,True,Electric,"Static,Plus",55,40,40,65,45,35,280,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/179.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/179.png
180,Flaaffy,0.8,13.3,128.0,True,Electric,"Static,Plus",70,55,55,80,60,45,365,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/180.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/180.png
181,Ampharos,1.4,61.5,230.0,True,Electric,"Static,Plus",90,75,85,115,90,55,510,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/181.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/181.png
182,Bellossom,0.4,5.8,221.0,True,Grass,"Chlorophyll,Healer",75,80,95,90,100,50,490,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/182.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/182.png
183,Marill,0.4,8.5,88.0,True,"Water,Fairy","Thick-fat,Huge-power,Sap-sipper",70,20,50,20,50,40,250,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/183.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/183.png
184,Azumarill,0.8,28.5,189.0,True,"Water,Fairy","Thick-fat,Huge-power,Sap-sipper",100,50,80,60,80,50,420,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/184.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/184.png
185,Sudowoodo,1.2,38.0,144.0,True,Rock,"Sturdy,Rock-head,Rattled",70,100,115,30,65,30,410,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/185.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/185.png
186,Politoed,1.1,33.9,225.0,True,Water,"Water-absorb,Damp,Drizzle",90,75,75,90,100,70,500,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/186.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/186.png
187,Hoppip,0.4,0.5,50.0,True,"Grass,Flying","Chlorophyll,Leaf-guard,Infiltrator",35,35,40,35,55,50,250,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/187.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/187.png
188,Skiploom,0.6,1.0,119.0,True,"Grass,Flying","Chlorophyll,Leaf-guard,Infiltrator",55,45,50,45,65,80,340,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/188.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/188.png
189,Jumpluff,0.8,3.0,207.0,True,"Grass,Flying","Chlorophyll,Leaf-guard,Infiltrator",75,55,70,55,95,110,460,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/189.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/189.png
190,Aipom,0.8,11.5,72.0,True,Normal,"Run-away,Pickup,Skill-link",55,70,55,40,55,85,360,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/190.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/190.png
191,Sunkern,0.3,1.8,36.0,True,Grass,"Chlorophyll,Solar-power,Early-bird",30,30,30,30,30,30,180,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/191.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/191.png
192,Sunflora,0.8,8.5,149.0,True,Grass,"Chlorophyll,Solar-power,Early-bird",75,75,55,105,85,30,425,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/192.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/192.png
193,Yanma,1.2,38.0,78.0,True,"Bug,Flying","Speed-boost,Compound-eyes,Frisk",65,65,45,75,45,95,390,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/193.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/193.png
194,Wooper,0.4,8.5,42.0,True,"Water,Ground","Damp,Water-absorb,Unaware",55,45,45,25,25,15,210,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/194.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/194.png
195,Quagsire,1.4,75.0,151.0,True,"Water,Ground","Damp,Water-absorb,Unaware",95,85,85,65,65,35,430,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/195.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/195.png
196,Espeon,0.9,26.5,184.0,True,Psychic,"Synchronize,Magic-bounce",65,65,60,130,95,110,525,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/196.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/196.png
197,Umbreon,1.0,27.0,184.0,True,Dark,"Synchronize,Inner-focus",95,65,110,60,130,65,525,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/197.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/197.png
198,Murkrow,0.5,2.1,81.0,True,"Dark,Flying","Insomnia,Super-luck,Prankster",60,85,42,85,42,91,405,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/198.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/198.png
199,Slowking,2.0,79.5,172.0,True,"Water,Psychic","Oblivious,Own-tempo,Regenerator",95,75,80,100,110,30,490,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/199.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/199.png
200,Misdreavus,0.7,1.0,87.0,True,Ghost,Levitate,60,60,60,85,85,85,435,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/200.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/200.png
201,Unown,0.5,5.0,118.0,True,Psychic,Levitate,48,72,48,72,48,48,336,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/201.png
202,Wobbuffet,1.3,28.5,142.0,True,Psychic,"Shadow-tag,Telepathy",190,33,58,33,58,33,405,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/202.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/202.png
203,Girafarig,1.5,41.5,159.0,True,"Normal,Psychic","Inner-focus,Early-bird,Sap-sipper",70,80,65,90,65,85,455,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/203.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/203.png
204,Pineco,0.6,7.2,58.0,True,Bug,"Sturdy,Overcoat",50,65,90,35,35,15,290,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/204.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/204.png
205,Forretress,1.2,125.8,163.0,True,"Bug,Steel","Sturdy,Overcoat",75,90,140,60,60,40,465,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/205.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/205.png
206,Dunsparce,1.5,14.0,145.0,True,Normal,"Serene-grace,Run-away,Rattled",100,70,70,65,65,45,415,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/206.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/206.png
207,Gligar,1.1,64.8,86.0,True,"Ground,Flying","Hyper-cutter,Sand-veil,Immunity",65,75,105,35,65,85,430,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/207.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/207.png
208,Steelix,9.2,400.0,179.0,True,"Steel,Ground","Rock-head,Sturdy,Sheer-force",75,85,200,55,65,30,510,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/208.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/208.png
209,Snubbull,0.6,7.8,60.0,True,Fairy,"Intimidate,Run-away,Rattled",60,80,50,40,40,30,300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/209.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/209.png
210,Granbull,1.4,48.7,158.0,True,Fairy,"Intimidate,Quick-feet,Rattled",90,120,75,60,60,45,450,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/210.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/210.png
211,Qwilfish,0.5,3.9,88.0,True,"Water,Poison","Poison-point,Swift-swim,Intimidate",65,95,85,55,55,85,440,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/211.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/211.png
212,Scizor,1.8,118.0,175.0,True,"Bug,Steel","Swarm,Technician,Light-metal",70,130,100,55,80,65,500,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/212.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/212.png
213,Shuckle,0.6,20.5,177.0,True,"Bug,Rock","Sturdy,Gluttony,Contrary",20,10,230,10,230,5,505,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/213.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/213.png
214,Heracross,1.5,54.0,175.0,True,"Bug,Fighting","Swarm,Guts,Moxie",80,125,75,40,95,85,500,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/214.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/214.png
215,Sneasel,0.9,28.0,86.0,True,"Dark,Ice","Inner-focus,Keen-eye,Pickpocket",55,95,55,35,75,115,430,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/215.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/215.png
216,Teddiursa,0.6,8.8,66.0,True,Normal,"Pickup,Quick-feet,Honey-gather",60,80,50,50,50,40,330,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/216.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/216.png
217,Ursaring,1.8,125.8,175.0,True,Normal,"Guts,Quick-feet,Unnerve",90,130,75,75,75,55,500,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/217.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/217.png
218,Slugma,0.7,35.0,50.0,True,Fire,"Magma-armor,Flame-body,Weak-armor",40,40,40,70,40,20,250,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/218.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/218.png
219,Magcargo,0.8,55.0,151.0,True,"Fire,Rock","Magma-armor,Flame-body,Weak-armor",60,50,120,90,80,30,430,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/219.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/219.png
220,Swinub,0.4,6.5,50.0,True,"Ice,Ground","Oblivious,Snow-cloak,Thick-fat",50,50,40,30,30,50,250,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/220.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/220.png
221,Piloswine,1.1,55.8,158.0,True,"Ice,Ground","Oblivious,Snow-cloak,Thick-fat",100,100,80,60,60,50,450,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/221.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/221.png
222,Corsola,0.6,5.0,144.0,True,"Water,Rock","Hustle,Natural-cure,Regenerator",65,55,95,65,95,35,410,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/222.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/222.png
223,Remoraid,0.6,12.0,60.0,True,Water,"Hustle,Sniper,Moody",35,65,35,65,35,65,300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/223.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/223.png
224,Octillery,0.9,28.5,168.0,True,Water,"Suction-cups,Sniper,Moody",75,105,75,105,75,45,480,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/224.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/224.png
225,Delibird,0.9,16.0,116.0,True,"Ice,Flying","Vital-spirit,Hustle,Insomnia",45,55,45,65,45,75,330,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/225.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/225.png
226,Mantine,2.1,220.0,170.0,True,"Water,Flying","Swift-swim,Water-absorb,Water-veil",85,40,70,80,140,70,485,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/226.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/226.png
227,Skarmory,1.7,50.5,163.0,True,"Steel,Flying","Keen-eye,Sturdy,Weak-armor",65,80,140,40,70,70,465,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/227.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/227.png
228,Houndour,0.6,10.8,66.0,True,"Dark,Fire","Early-bird,Flash-fire,Unnerve",45,60,30,80,50,65,330,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/228.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/228.png
229,Houndoom,1.4,35.0,175.0,True,"Dark,Fire","Early-bird,Flash-fire,Unnerve",75,90,50,110,80,95,500,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/229.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/229.png
230,Kingdra,1.8,152.0,243.0,True,"Water,Dragon","Swift-swim,Sniper,Damp",75,95,95,95,95,85,540,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/230.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/230.png
231,Phanpy,0.5,33.5,66.0,True,Ground,"Pickup,Sand-veil",90,60,60,40,40,40,330,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/231.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/231.png
232,Donphan,1.1,120.0,175.0,True,Ground,"Sturdy,Sand-veil",90,120,120,60,60,50,500,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/232.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/232.png
233,Porygon2,0.6,32.5,180.0,True,Normal,"Trace,Download,Analytic",85,80,90,105,95,60,515,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/233.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/233.png
234,Stantler,1.4,71.2,163.0,True,Normal,"Intimidate,Frisk,Sap-sipper",73,95,62,85,65,85,465,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/234.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/234.png
235,Smeargle,1.2,58.0,88.0,True,Normal,"Own-tempo,Technician,Moody",55,20,35,20,45,75,250,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/235.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/235.png
236,Tyrogue,0.7,21.0,42.0,True,Fighting,"Guts,Steadfast,Vital-spirit",35,35,35,35,35,35,210,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/236.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/236.png
237,Hitmontop,1.4,48.0,159.0,True,Fighting,"Intimidate,Technician,Steadfast",50,95,95,35,110,70,455,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/237.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/237.png
238,Smoochum,0.4,6.0,61.0,True,"Ice,Psychic","Oblivious,Forewarn,Hydration",45,30,15,85,65,65,305,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/238.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/238.png
239,Elekid,0.6,23.5,72.0,True,Electric,"Static,Vital-spirit",45,63,37,65,55,95,360,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/239.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/239.png
240,Magby,0.7,21.4,73.0,True,Fire,"Flame-body,Vital-spirit",45,75,37,70,55,83,365,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/240.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/240.png
241,Miltank,1.2,75.5,172.0,True,Normal,"Thick-fat,Scrappy,Sap-sipper",95,80,105,40,70,100,490,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/241.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/241.png
242,Blissey,1.5,46.8,608.0,True,Normal,"Natural-cure,Serene-grace,Healer",255,10,10,75,135,55,540,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/242.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/242.png
243,Raikou,1.9,178.0,261.0,True,Electric,"Pressure,Inner-focus",90,85,75,115,100,115,580,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/243.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/243.png
244,Entei,2.1,198.0,261.0,True,Fire,"Pressure,Inner-focus",115,115,85,90,75,100,580,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/244.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/244.png
245,Suicune,2.0,187.0,261.0,True,Water,"Pressure,Inner-focus",100,75,115,90,115,85,580,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/245.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/245.png
246,Larvitar,0.6,72.0,60.0,True,"Rock,Ground","Guts,Sand-veil",50,64,50,45,50,41,300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/246.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/246.png
247,Pupitar,1.2,152.0,144.0,True,"Rock,Ground",Shed-skin,70,84,70,65,70,51,410,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/247.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/247.png
248,Tyranitar,2.0,202.0,270.0,True,"Rock,Dark","Sand-stream,Unnerve",100,134,110,95,100,61,600,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/248.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/248.png
249,Lugia,5.2,216.0,306.0,True,"Psychic,Flying","Pressure,Multiscale",106,90,130,90,154,110,680,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/249.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/249.png
250,Ho-oh,3.8,199.0,306.0,True,"Fire,Flying","Pressure,Regenerator",106,130,90,110,154,90,680,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/250.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/250.png
251,Celebi,0.6,5.0,270.0,True,"Psychic,Grass",Natural-cure,100,100,100,100,100,100,600,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/251.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/251.png
252,Treecko,0.5,5.0,62.0,True,Grass,"Overgrow,Unburden",40,45,35,65,55,70,310,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/252.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/252.png
253,Grovyle,0.9,21.6,142.0,True,Grass,"Overgrow,Unburden",50,65,45,85,65,95,405,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/253.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/253.png
254,Sceptile,1.7,52.2,239.0,True,Grass,"Overgrow,Unburden",70,85,65,105,85,120,530,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/254.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/254.png
255,Torchic,0.4,2.5,62.0,True,Fire,"Blaze,Speed-boost",45,60,40,70,50,45,310,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/255.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/255.png
256,Combusken,0.9,19.5,142.0,True,"Fire,Fighting","Blaze,Speed-boost",60,85,60,85,60,55,405,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/256.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/256.png
257,Blaziken,1.9,52.0,239.0,True,"Fire,Fighting","Blaze,Speed-boost",80,120,70,110,70,80,530,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/257.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/257.png
258,Mudkip,0.4,7.6,62.0,True,Water,"Torrent,Damp",50,70,50,50,50,40,310,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/258.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/258.png
259,Marshtomp,0.7,28.0,142.0,True,"Water,Ground","Torrent,Damp",70,85,70,60,70,50,405,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/259.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/259.png
260,Swampert,1.5,81.9,241.0,True,"Water,Ground","Torrent,Damp",100,110,90,85,90,60,535,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/260.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/260.png
261,Poochyena,0.5,13.6,56.0,True,Dark,"Run-away,Quick-feet,Rattled",35,55,35,30,30,35,220,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/261.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/261.png
